queue_id,system,signal,updated_by,confidence,comment
Q57-2-1,client_instruction_log,signal-1,calendar,medium,"context fragment; not a standalone decision"
Q57-2-2,client_instruction_log,signal-2,desk,high-but-stale,"context fragment; not a standalone decision"
Q57-2-3,outside_counsel_conflicts,signal-3,mobile,ambiguous,"context fragment; not a standalone decision"
Q57-2-4,signature_authority_context,signal-4,mailbox,low,"context fragment; not a standalone decision"
Q57-2-5,court_runner_fragments,signal-5,calendar,high-but-stale,"context fragment; not a standalone decision"
Q57-2-6,outside_counsel_conflicts,signal-6,runner,high-but-stale,"context fragment; not a standalone decision"
Q57-2-7,opposing_counsel_mail,signal-7,desk,medium,"context fragment; not a standalone decision"
Q57-2-8,client_instruction_log,signal-8,desk,medium,"context fragment; not a standalone decision"
Q57-2-9,client_instruction_log,signal-9,mobile,ambiguous,"context fragment; not a standalone decision"
Q57-2-10,outside_counsel_conflicts,signal-10,mobile,medium,"context fragment; not a standalone decision"
Q57-2-11,client_instruction_log,signal-11,calendar,medium,"context fragment; not a standalone decision"
Q57-2-12,opposing_counsel_mail,signal-12,desk,low,"context fragment; not a standalone decision"
Q57-2-13,client_instruction_log,signal-13,desk,high-but-stale,"context fragment; not a standalone decision"
Q57-2-14,outside_counsel_conflicts,signal-14,mailbox,ambiguous,"context fragment; not a standalone decision"
Q57-2-15,signature_authority_context,signal-15,mailbox,medium,"context fragment; not a standalone decision"
Q57-2-16,opposing_counsel_mail,signal-16,runner,medium,"context fragment; not a standalone decision"
Q57-2-17,opposing_counsel_mail,signal-17,mailbox,medium,"context fragment; not a standalone decision"
