queue_id,system,signal,updated_by,confidence,comment
Q48-1-1,rehab_coordination_mail,signal-1,mobile,ambiguous,"context fragment; not a standalone decision"
Q48-1-2,provider_message_threads,signal-2,desk,low,"context fragment; not a standalone decision"
Q48-1-3,release_of_information_desk,signal-3,mobile,low,"context fragment; not a standalone decision"
Q48-1-4,proxy_exception_workbench,signal-4,runner,high-but-stale,"context fragment; not a standalone decision"
Q48-1-5,provider_message_threads,signal-5,desk,medium,"context fragment; not a standalone decision"
Q48-1-6,clinical_callback_board,signal-6,calendar,ambiguous,"context fragment; not a standalone decision"
Q48-1-7,clinical_callback_board,signal-7,mobile,low,"context fragment; not a standalone decision"
Q48-1-8,clinical_callback_board,signal-8,calendar,low,"context fragment; not a standalone decision"
Q48-1-9,provider_message_threads,signal-9,calendar,high-but-stale,"context fragment; not a standalone decision"
Q48-1-10,clinical_callback_board,signal-10,mailbox,low,"context fragment; not a standalone decision"
Q48-1-11,proxy_exception_workbench,signal-11,mailbox,ambiguous,"context fragment; not a standalone decision"
Q48-1-12,proxy_exception_workbench,signal-12,runner,high-but-stale,"context fragment; not a standalone decision"
Q48-1-13,provider_message_threads,signal-13,calendar,medium,"context fragment; not a standalone decision"
Q48-1-14,rehab_coordination_mail,signal-14,desk,low,"context fragment; not a standalone decision"
Q48-1-15,release_of_information_desk,signal-15,runner,ambiguous,"context fragment; not a standalone decision"
Q48-1-16,provider_message_threads,signal-16,runner,medium,"context fragment; not a standalone decision"
Q48-1-17,clinical_callback_board,signal-17,mobile,low,"context fragment; not a standalone decision"
