queue_id,system,signal,updated_by,confidence,comment
Q48-3-1,release_of_information_desk,signal-1,mailbox,ambiguous,"context fragment; not a standalone decision"
Q48-3-2,release_of_information_desk,signal-2,mobile,high-but-stale,"context fragment; not a standalone decision"
Q48-3-3,provider_message_threads,signal-3,mailbox,high-but-stale,"context fragment; not a standalone decision"
Q48-3-4,clinical_callback_board,signal-4,calendar,low,"context fragment; not a standalone decision"
Q48-3-5,rehab_coordination_mail,signal-5,mailbox,high-but-stale,"context fragment; not a standalone decision"
Q48-3-6,release_of_information_desk,signal-6,mobile,low,"context fragment; not a standalone decision"
Q48-3-7,release_of_information_desk,signal-7,mobile,medium,"context fragment; not a standalone decision"
Q48-3-8,proxy_exception_workbench,signal-8,mobile,ambiguous,"context fragment; not a standalone decision"
Q48-3-9,proxy_exception_workbench,signal-9,mailbox,ambiguous,"context fragment; not a standalone decision"
Q48-3-10,clinical_callback_board,signal-10,runner,low,"context fragment; not a standalone decision"
Q48-3-11,rehab_coordination_mail,signal-11,mailbox,medium,"context fragment; not a standalone decision"
Q48-3-12,rehab_coordination_mail,signal-12,mobile,low,"context fragment; not a standalone decision"
Q48-3-13,provider_message_threads,signal-13,mobile,medium,"context fragment; not a standalone decision"
Q48-3-14,rehab_coordination_mail,signal-14,mobile,high-but-stale,"context fragment; not a standalone decision"
Q48-3-15,proxy_exception_workbench,signal-15,runner,high-but-stale,"context fragment; not a standalone decision"
Q48-3-16,proxy_exception_workbench,signal-16,desk,low,"context fragment; not a standalone decision"
Q48-3-17,clinical_callback_board,signal-17,mailbox,ambiguous,"context fragment; not a standalone decision"
