queue_id,system,signal,updated_by,confidence,comment
Q48-4-1,clinical_callback_board,signal-1,mailbox,medium,"context fragment; not a standalone decision"
Q48-4-2,release_of_information_desk,signal-2,mailbox,low,"context fragment; not a standalone decision"
Q48-4-3,rehab_coordination_mail,signal-3,mobile,ambiguous,"context fragment; not a standalone decision"
Q48-4-4,proxy_exception_workbench,signal-4,mobile,ambiguous,"context fragment; not a standalone decision"
Q48-4-5,release_of_information_desk,signal-5,runner,ambiguous,"context fragment; not a standalone decision"
Q48-4-6,proxy_exception_workbench,signal-6,calendar,ambiguous,"context fragment; not a standalone decision"
Q48-4-7,release_of_information_desk,signal-7,mailbox,high-but-stale,"context fragment; not a standalone decision"
Q48-4-8,proxy_exception_workbench,signal-8,runner,ambiguous,"context fragment; not a standalone decision"
Q48-4-9,proxy_exception_workbench,signal-9,mailbox,medium,"context fragment; not a standalone decision"
Q48-4-10,provider_message_threads,signal-10,mailbox,medium,"context fragment; not a standalone decision"
Q48-4-11,proxy_exception_workbench,signal-11,desk,ambiguous,"context fragment; not a standalone decision"
Q48-4-12,proxy_exception_workbench,signal-12,runner,high-but-stale,"context fragment; not a standalone decision"
Q48-4-13,provider_message_threads,signal-13,mobile,high-but-stale,"context fragment; not a standalone decision"
Q48-4-14,provider_message_threads,signal-14,runner,low,"context fragment; not a standalone decision"
Q48-4-15,rehab_coordination_mail,signal-15,mailbox,low,"context fragment; not a standalone decision"
Q48-4-16,proxy_exception_workbench,signal-16,desk,medium,"context fragment; not a standalone decision"
Q48-4-17,release_of_information_desk,signal-17,mailbox,low,"context fragment; not a standalone decision"
