queue_id,system,signal,updated_by,confidence,comment
Q48-2-1,proxy_exception_workbench,signal-1,mobile,low,"context fragment; not a standalone decision"
Q48-2-2,release_of_information_desk,signal-2,runner,ambiguous,"context fragment; not a standalone decision"
Q48-2-3,provider_message_threads,signal-3,runner,medium,"context fragment; not a standalone decision"
Q48-2-4,clinical_callback_board,signal-4,runner,medium,"context fragment; not a standalone decision"
Q48-2-5,clinical_callback_board,signal-5,desk,medium,"context fragment; not a standalone decision"
Q48-2-6,release_of_information_desk,signal-6,calendar,ambiguous,"context fragment; not a standalone decision"
Q48-2-7,clinical_callback_board,signal-7,runner,ambiguous,"context fragment; not a standalone decision"
Q48-2-8,provider_message_threads,signal-8,calendar,high-but-stale,"context fragment; not a standalone decision"
Q48-2-9,rehab_coordination_mail,signal-9,mailbox,low,"context fragment; not a standalone decision"
Q48-2-10,provider_message_threads,signal-10,calendar,low,"context fragment; not a standalone decision"
Q48-2-11,clinical_callback_board,signal-11,mailbox,ambiguous,"context fragment; not a standalone decision"
Q48-2-12,proxy_exception_workbench,signal-12,calendar,high-but-stale,"context fragment; not a standalone decision"
Q48-2-13,proxy_exception_workbench,signal-13,runner,low,"context fragment; not a standalone decision"
Q48-2-14,provider_message_threads,signal-14,desk,low,"context fragment; not a standalone decision"
Q48-2-15,clinical_callback_board,signal-15,mobile,ambiguous,"context fragment; not a standalone decision"
Q48-2-16,rehab_coordination_mail,signal-16,calendar,medium,"context fragment; not a standalone decision"
Q48-2-17,clinical_callback_board,signal-17,calendar,medium,"context fragment; not a standalone decision"
