queue_id,system,signal,updated_by,confidence,comment
Q56-1-1,vendor_cfo_mail,signal-1,calendar,high-but-stale,"context fragment; not a standalone decision"
Q56-1-2,alternate_mailbox_context,signal-2,desk,medium,"context fragment; not a standalone decision"
Q56-1-3,executive_assistant_pressure,signal-3,desk,low,"context fragment; not a standalone decision"
Q56-1-4,vendor_cfo_mail,signal-4,desk,high-but-stale,"context fragment; not a standalone decision"
Q56-1-5,fraud_desk_comments,signal-5,runner,ambiguous,"context fragment; not a standalone decision"
Q56-1-6,fraud_desk_comments,signal-6,mobile,low,"context fragment; not a standalone decision"
Q56-1-7,vendor_cfo_mail,signal-7,calendar,low,"context fragment; not a standalone decision"
Q56-1-8,ap_remittance_conflicts,signal-8,calendar,high-but-stale,"context fragment; not a standalone decision"
Q56-1-9,alternate_mailbox_context,signal-9,runner,high-but-stale,"context fragment; not a standalone decision"
Q56-1-10,alternate_mailbox_context,signal-10,mobile,medium,"context fragment; not a standalone decision"
Q56-1-11,alternate_mailbox_context,signal-11,mobile,medium,"context fragment; not a standalone decision"
Q56-1-12,fraud_desk_comments,signal-12,mobile,high-but-stale,"context fragment; not a standalone decision"
Q56-1-13,vendor_cfo_mail,signal-13,mobile,low,"context fragment; not a standalone decision"
Q56-1-14,vendor_cfo_mail,signal-14,calendar,medium,"context fragment; not a standalone decision"
Q56-1-15,ap_remittance_conflicts,signal-15,calendar,low,"context fragment; not a standalone decision"
Q56-1-16,fraud_desk_comments,signal-16,mailbox,ambiguous,"context fragment; not a standalone decision"
Q56-1-17,ap_remittance_conflicts,signal-17,runner,high-but-stale,"context fragment; not a standalone decision"
