queue_id,system,signal,updated_by,confidence,comment
Q56-3-1,fraud_desk_comments,signal-1,mobile,medium,"context fragment; not a standalone decision"
Q56-3-2,vendor_cfo_mail,signal-2,calendar,high-but-stale,"context fragment; not a standalone decision"
Q56-3-3,alternate_mailbox_context,signal-3,mobile,high-but-stale,"context fragment; not a standalone decision"
Q56-3-4,vendor_cfo_mail,signal-4,desk,ambiguous,"context fragment; not a standalone decision"
Q56-3-5,executive_assistant_pressure,signal-5,runner,medium,"context fragment; not a standalone decision"
Q56-3-6,fraud_desk_comments,signal-6,mailbox,medium,"context fragment; not a standalone decision"
Q56-3-7,executive_assistant_pressure,signal-7,desk,medium,"context fragment; not a standalone decision"
Q56-3-8,ap_remittance_conflicts,signal-8,runner,high-but-stale,"context fragment; not a standalone decision"
Q56-3-9,vendor_cfo_mail,signal-9,desk,medium,"context fragment; not a standalone decision"
Q56-3-10,vendor_cfo_mail,signal-10,mobile,ambiguous,"context fragment; not a standalone decision"
Q56-3-11,fraud_desk_comments,signal-11,mailbox,ambiguous,"context fragment; not a standalone decision"
Q56-3-12,vendor_cfo_mail,signal-12,mobile,ambiguous,"context fragment; not a standalone decision"
Q56-3-13,executive_assistant_pressure,signal-13,desk,high-but-stale,"context fragment; not a standalone decision"
Q56-3-14,alternate_mailbox_context,signal-14,desk,high-but-stale,"context fragment; not a standalone decision"
Q56-3-15,vendor_cfo_mail,signal-15,mobile,high-but-stale,"context fragment; not a standalone decision"
Q56-3-16,fraud_desk_comments,signal-16,desk,ambiguous,"context fragment; not a standalone decision"
Q56-3-17,vendor_cfo_mail,signal-17,mailbox,medium,"context fragment; not a standalone decision"
