queue_id,system,signal,updated_by,confidence,comment
Q56-2-1,vendor_cfo_mail,signal-1,mobile,low,"context fragment; not a standalone decision"
Q56-2-2,alternate_mailbox_context,signal-2,mailbox,low,"context fragment; not a standalone decision"
Q56-2-3,ap_remittance_conflicts,signal-3,runner,high-but-stale,"context fragment; not a standalone decision"
Q56-2-4,alternate_mailbox_context,signal-4,mailbox,ambiguous,"context fragment; not a standalone decision"
Q56-2-5,fraud_desk_comments,signal-5,mailbox,low,"context fragment; not a standalone decision"
Q56-2-6,executive_assistant_pressure,signal-6,runner,medium,"context fragment; not a standalone decision"
Q56-2-7,ap_remittance_conflicts,signal-7,mobile,ambiguous,"context fragment; not a standalone decision"
Q56-2-8,executive_assistant_pressure,signal-8,mobile,high-but-stale,"context fragment; not a standalone decision"
Q56-2-9,executive_assistant_pressure,signal-9,mailbox,low,"context fragment; not a standalone decision"
Q56-2-10,fraud_desk_comments,signal-10,runner,medium,"context fragment; not a standalone decision"
Q56-2-11,vendor_cfo_mail,signal-11,mobile,medium,"context fragment; not a standalone decision"
Q56-2-12,vendor_cfo_mail,signal-12,mailbox,low,"context fragment; not a standalone decision"
Q56-2-13,fraud_desk_comments,signal-13,mobile,medium,"context fragment; not a standalone decision"
Q56-2-14,ap_remittance_conflicts,signal-14,runner,ambiguous,"context fragment; not a standalone decision"
Q56-2-15,alternate_mailbox_context,signal-15,runner,high-but-stale,"context fragment; not a standalone decision"
Q56-2-16,executive_assistant_pressure,signal-16,mobile,high-but-stale,"context fragment; not a standalone decision"
Q56-2-17,fraud_desk_comments,signal-17,runner,low,"context fragment; not a standalone decision"
