queue_id,system,signal,updated_by,confidence,comment
Q56-4-1,alternate_mailbox_context,signal-1,runner,high-but-stale,"context fragment; not a standalone decision"
Q56-4-2,fraud_desk_comments,signal-2,desk,high-but-stale,"context fragment; not a standalone decision"
Q56-4-3,alternate_mailbox_context,signal-3,desk,high-but-stale,"context fragment; not a standalone decision"
Q56-4-4,fraud_desk_comments,signal-4,calendar,high-but-stale,"context fragment; not a standalone decision"
Q56-4-5,vendor_cfo_mail,signal-5,desk,low,"context fragment; not a standalone decision"
Q56-4-6,executive_assistant_pressure,signal-6,mobile,high-but-stale,"context fragment; not a standalone decision"
Q56-4-7,fraud_desk_comments,signal-7,mailbox,low,"context fragment; not a standalone decision"
Q56-4-8,executive_assistant_pressure,signal-8,runner,high-but-stale,"context fragment; not a standalone decision"
Q56-4-9,alternate_mailbox_context,signal-9,mailbox,ambiguous,"context fragment; not a standalone decision"
Q56-4-10,executive_assistant_pressure,signal-10,mailbox,low,"context fragment; not a standalone decision"
Q56-4-11,ap_remittance_conflicts,signal-11,desk,medium,"context fragment; not a standalone decision"
Q56-4-12,alternate_mailbox_context,signal-12,mobile,low,"context fragment; not a standalone decision"
Q56-4-13,fraud_desk_comments,signal-13,desk,medium,"context fragment; not a standalone decision"
Q56-4-14,executive_assistant_pressure,signal-14,calendar,medium,"context fragment; not a standalone decision"
Q56-4-15,vendor_cfo_mail,signal-15,runner,ambiguous,"context fragment; not a standalone decision"
Q56-4-16,executive_assistant_pressure,signal-16,runner,low,"context fragment; not a standalone decision"
Q56-4-17,alternate_mailbox_context,signal-17,mobile,high-but-stale,"context fragment; not a standalone decision"
