queue_id,system,signal,updated_by,confidence,comment
Q46-3-1,controller_review_mail,signal-1,desk,medium,"context fragment; not a standalone decision"
Q46-3-2,treasury_cutoff_room,signal-2,mobile,high-but-stale,"context fragment; not a standalone decision"
Q46-3-3,treasury_cutoff_room,signal-3,mobile,high-but-stale,"context fragment; not a standalone decision"
Q46-3-4,controller_review_mail,signal-4,calendar,low,"context fragment; not a standalone decision"
Q46-3-5,bank_callback_attempts,signal-5,runner,medium,"context fragment; not a standalone decision"
Q46-3-6,vendor_master_diff,signal-6,desk,low,"context fragment; not a standalone decision"
Q46-3-7,vendor_master_diff,signal-7,desk,ambiguous,"context fragment; not a standalone decision"
Q46-3-8,bank_callback_attempts,signal-8,calendar,medium,"context fragment; not a standalone decision"
Q46-3-9,vendor_master_diff,signal-9,mobile,ambiguous,"context fragment; not a standalone decision"
Q46-3-10,controller_review_mail,signal-10,calendar,ambiguous,"context fragment; not a standalone decision"
Q46-3-11,treasury_cutoff_room,signal-11,desk,high-but-stale,"context fragment; not a standalone decision"
Q46-3-12,bank_callback_attempts,signal-12,mobile,low,"context fragment; not a standalone decision"
Q46-3-13,controller_review_mail,signal-13,desk,high-but-stale,"context fragment; not a standalone decision"
Q46-3-14,budget_exception_workbench,signal-14,runner,medium,"context fragment; not a standalone decision"
Q46-3-15,budget_exception_workbench,signal-15,mailbox,low,"context fragment; not a standalone decision"
Q46-3-16,budget_exception_workbench,signal-16,desk,medium,"context fragment; not a standalone decision"
Q46-3-17,treasury_cutoff_room,signal-17,mobile,medium,"context fragment; not a standalone decision"
