queue_id,system,signal,updated_by,confidence,comment
Q46-2-1,vendor_master_diff,signal-1,runner,ambiguous,"context fragment; not a standalone decision"
Q46-2-2,bank_callback_attempts,signal-2,mailbox,ambiguous,"context fragment; not a standalone decision"
Q46-2-3,treasury_cutoff_room,signal-3,desk,low,"context fragment; not a standalone decision"
Q46-2-4,bank_callback_attempts,signal-4,runner,low,"context fragment; not a standalone decision"
Q46-2-5,vendor_master_diff,signal-5,calendar,high-but-stale,"context fragment; not a standalone decision"
Q46-2-6,bank_callback_attempts,signal-6,mailbox,medium,"context fragment; not a standalone decision"
Q46-2-7,treasury_cutoff_room,signal-7,calendar,ambiguous,"context fragment; not a standalone decision"
Q46-2-8,vendor_master_diff,signal-8,mailbox,high-but-stale,"context fragment; not a standalone decision"
Q46-2-9,budget_exception_workbench,signal-9,mobile,medium,"context fragment; not a standalone decision"
Q46-2-10,vendor_master_diff,signal-10,mobile,low,"context fragment; not a standalone decision"
Q46-2-11,vendor_master_diff,signal-11,mobile,low,"context fragment; not a standalone decision"
Q46-2-12,budget_exception_workbench,signal-12,mobile,ambiguous,"context fragment; not a standalone decision"
Q46-2-13,vendor_master_diff,signal-13,desk,medium,"context fragment; not a standalone decision"
Q46-2-14,controller_review_mail,signal-14,runner,ambiguous,"context fragment; not a standalone decision"
Q46-2-15,vendor_master_diff,signal-15,mailbox,medium,"context fragment; not a standalone decision"
Q46-2-16,vendor_master_diff,signal-16,runner,high-but-stale,"context fragment; not a standalone decision"
Q46-2-17,bank_callback_attempts,signal-17,runner,low,"context fragment; not a standalone decision"
