queue_id,system,signal,updated_by,confidence,comment
Q46-1-1,treasury_cutoff_room,signal-1,calendar,ambiguous,"context fragment; not a standalone decision"
Q46-1-2,controller_review_mail,signal-2,mobile,high-but-stale,"context fragment; not a standalone decision"
Q46-1-3,vendor_master_diff,signal-3,runner,low,"context fragment; not a standalone decision"
Q46-1-4,controller_review_mail,signal-4,mailbox,high-but-stale,"context fragment; not a standalone decision"
Q46-1-5,budget_exception_workbench,signal-5,mobile,low,"context fragment; not a standalone decision"
Q46-1-6,vendor_master_diff,signal-6,runner,high-but-stale,"context fragment; not a standalone decision"
Q46-1-7,vendor_master_diff,signal-7,mailbox,high-but-stale,"context fragment; not a standalone decision"
Q46-1-8,controller_review_mail,signal-8,mobile,medium,"context fragment; not a standalone decision"
Q46-1-9,bank_callback_attempts,signal-9,desk,medium,"context fragment; not a standalone decision"
Q46-1-10,treasury_cutoff_room,signal-10,desk,ambiguous,"context fragment; not a standalone decision"
Q46-1-11,vendor_master_diff,signal-11,mailbox,ambiguous,"context fragment; not a standalone decision"
Q46-1-12,budget_exception_workbench,signal-12,mobile,low,"context fragment; not a standalone decision"
Q46-1-13,bank_callback_attempts,signal-13,mailbox,high-but-stale,"context fragment; not a standalone decision"
Q46-1-14,vendor_master_diff,signal-14,desk,ambiguous,"context fragment; not a standalone decision"
Q46-1-15,controller_review_mail,signal-15,desk,medium,"context fragment; not a standalone decision"
Q46-1-16,vendor_master_diff,signal-16,desk,medium,"context fragment; not a standalone decision"
Q46-1-17,controller_review_mail,signal-17,calendar,ambiguous,"context fragment; not a standalone decision"
