queue_id,system,signal,updated_by,confidence,comment
Q46-4-1,bank_callback_attempts,signal-1,calendar,ambiguous,"context fragment; not a standalone decision"
Q46-4-2,bank_callback_attempts,signal-2,mailbox,high-but-stale,"context fragment; not a standalone decision"
Q46-4-3,budget_exception_workbench,signal-3,mailbox,high-but-stale,"context fragment; not a standalone decision"
Q46-4-4,treasury_cutoff_room,signal-4,runner,ambiguous,"context fragment; not a standalone decision"
Q46-4-5,treasury_cutoff_room,signal-5,desk,medium,"context fragment; not a standalone decision"
Q46-4-6,controller_review_mail,signal-6,calendar,high-but-stale,"context fragment; not a standalone decision"
Q46-4-7,vendor_master_diff,signal-7,runner,high-but-stale,"context fragment; not a standalone decision"
Q46-4-8,bank_callback_attempts,signal-8,desk,high-but-stale,"context fragment; not a standalone decision"
Q46-4-9,budget_exception_workbench,signal-9,runner,medium,"context fragment; not a standalone decision"
Q46-4-10,budget_exception_workbench,signal-10,mobile,medium,"context fragment; not a standalone decision"
Q46-4-11,treasury_cutoff_room,signal-11,mobile,medium,"context fragment; not a standalone decision"
Q46-4-12,controller_review_mail,signal-12,calendar,medium,"context fragment; not a standalone decision"
Q46-4-13,vendor_master_diff,signal-13,mobile,low,"context fragment; not a standalone decision"
Q46-4-14,controller_review_mail,signal-14,desk,high-but-stale,"context fragment; not a standalone decision"
Q46-4-15,bank_callback_attempts,signal-15,runner,low,"context fragment; not a standalone decision"
Q46-4-16,budget_exception_workbench,signal-16,calendar,ambiguous,"context fragment; not a standalone decision"
Q46-4-17,bank_callback_attempts,signal-17,desk,ambiguous,"context fragment; not a standalone decision"
